Circular Number,Circular Date,Text,Predicted Redshift,Predicted GRB Number,Predicted Telescope Name,Predicted Redshift Type
10263,2009-12-08 15:09:46.000,"GRB 091208B: Gemini-North redshiftK. Wiersema, N. R. Tanvir (U. Leicester), A. Cucchiara (PSU),
A. J. Levan (U. Warwick) & D. Fox (PSU) report:

We observed the afterglow of GRB 091208B (Pagani et al. GCN 10256;
de Ugarte Postigo et al. GCN 10255) with the GMOS-N spectrograph on Gemini
North, beginning at 11:17 UT on December 8. We use the R400 grism.
The resulting spectrum covers the wavelength range 4000-8400 A and shows 
clear absorption lines of the MgII doublet (2796,2803), MgI (2853), FeI 
(2967), FeII (2586,2600) and MnII (2576,2594,2606) at a common redshift
of z = 1.063.

We thank the Gemini-N staff, in particular K. Chiboucas, for
performing this observation.",1.063,GRB 091208B,Gemini-North,Spectroscopic
10272,2009-12-09 06:11:31.000,"GRB 091208B: Keck HIRES redshift confirmationD. A. Perley (UC Berkeley), J. X. Prochaska (UCSC), P. Kalas, A. Howard, 
M. Fitzgerald, G. Marcy, and J. Graham (UCB) report:

Starting at 10:58:17 UT on December 8 we initiated a single 1200 second 
exposure of the afterglow of GRB 091208B (GCN 12055, de Ugarte Postigo 
et al.; GCN 10256, Pagani et al.) with HIRES-r on the 10m Keck I 
telescope.  Consistent with the result of Wiersema et al. (GCN 10263), 
we detect absorption lines from MgII and MnII at a redshift of 
z=1.0633+/-0.0003.  Additionally, we detect fine-structure transitions 
of FeII confirming that this is the redshift of the GRB.",z=1.0633+/-0.0003,GRB 091208B,10m Keck I telescope,Spectroscopic
10346,2010-01-19 06:55:58.000,"GRB 100117A:  Gemini North spectroscopyE. Berger, R. Chornock (Harvard), A. Cucchiara, D. B. Fox (PSU)
report:

""Starting on 2010 Jan 19.22 UT we used the GMOS spectrograph on the 
Gemini North 8-m telescope to obtain spectroscopic observations of
several extended objects (GCNs 10339, 10340, 10341) located inside and
near the revised XRT error circle (GCN 10342) of the short GRB 100117A
(GCN 10336).  The slit was aligned so that it covered sources S1, S2,
and S3 (GCN 10339).  Preliminary inspection of the combined 3000 sec
spectrum covering the wavelength range 4000-8000 A reveals that source
S1 is an M dwarf star.  We detect continuum emission from sources S2
and S3 redward of about 5000 and 5600 A, respectively, but no clear
emission or absorption features are identified.""",No Redshift,GRB 100117A,Gemini North 8-m telescope,Spectroscopic
10350,2010-01-19 22:11:33.000,"GRB091109A: VLT/FORS2 spectroscopic redshiftArne  Rau (MPE  Garching), Johan Fynbo (DARK), and Jochen Greiner (MPE 
Garching):

""We report on additional analysis of our VLT/FORS2 spectrum of the 
optical afterglow of GRB 091109A (Oates et al., GCN #10138, Guidorzi et 
al. GCN#10142, Oates GCN#10143, Afonso et al., GCN #10158 ).

A careful search revealed  absorption lines at 6227, 6308, and 6321 
Angstroem  which we identify with  SiII  and the CIV doublet a common 
redshift of  z=3.076 +/- 0.002.  Lyman-alpha absorption at this redshift 
is located shortwards of the blue wavelength cut-off and the earlier 
reported tentative detection at 5700A (Afonso et al., GCN #10158) is not 
confirmed.""",z=3.076 +/- 0.002,GRB091109A,VLT/FORS2,Spectroscopic
10389,2010-02-07 06:49:28.000,"GRB 100206A - Keck/LRIS SpectroscopyS. B. Cenko, J. S. Bloom, D. A. Perley, B. E. Cobb, A. N. Morgan, and A.
A. Miller, Maryam Modjaz (UC Berkeley) and B. James (DARK) report on
behalf of a larger collaboration:

We have obtained spectra of the likely host galaxy (Miller et al., GCN
10377) and afterglow (Levan et al., GCN 10386) of the short-hard
GRB100206A (Krimm et al, GCN 10376) with the Low Resolution Imaging
Spectrometer mounted on the 10-m Keck I telescope.  Observations began at
06:17 UT on 7 February (~ 16.8 hours after the burst) and cover the
wavelength range from approximately 3500 - 10000 A.

At the location of the candidate host galaxy, we detect a strongly red
continuum consistent with the published photometry (Leloudas et al., GCN
10387).  We detect strong, clearly resolved emission lines from H-alpha
and [NII] at a redshift of z = 0.41.  No other obvious lines are visible
over spectral range in our preliminary reduction.  The lack of H-beta,
coupled with the red spectrum and colors, suggest a relatively dusty
environment.  At this redshift, the projected offset of ~ 6.8"" from the
candidate afterglow corresponds to a distance of ~ 35 kpc.

No obvious trace is visible at the location of the afterglow.

Observations and reduction are ongoing.",0.41,GRB100206A,Keck I,Spectroscopic
10441,2010-02-20 04:48:54.000,"GRB 100219A: VLT/X-shooter redshiftP. Groot (Radboud Univ. Nijmegen), L. Kaper, L. Ellerbroek (Univ. 
Amsterdam), D. Malesani (DARK/NBI), P. Jakobsson (Univ. Iceland), J. P. 
U. Fynbo, J. Hjorth, D. J. Watson (DARK/NBI), and E. Mason (ESO), report 
on behalf of a larger collaboration:

We observed the optical objects associated to GRB 100219A (Rowlinson et 
al., GCN 10430; Holland & Rowlinson, GCN 10432; Bloom & Nugent, GCN 
10433; Jakobsson et al., GCN 10438; Kruehler et al., GCN 10439) with the 
VLT equipped with the X-shooter spectrograph. The slit was oriented so 
to include both the pre-existing object and the candidate afterglow. 
Observations started on 2010 Feb 20.105 UT (0.47 days after the GRB), 
for a total exposure time of 4x1200 s.

In a preliminary analysis of the spectra, we detect a clear signal from 
both objects. The continuum from the candidate afterglow is only 
detected redward of ~5310 AA. A further spectral break is recognised at 
~7060 AA. This is consistent with the onset of the Lyman limits and of 
the Lyman alpha forest at a common redshift z = 4.8. Our observations 
are consistent with the photometric redshift indicated by the GROND 
observations (Kruehler et al., GCN 10439).

The high luminosity of the object and its spectral shape indicate that 
this is indeed the afterglow of GRB 100219A.

The spectrum of the nearby galaxy implies a significantly lower 
redshift, around z=0.25, hence it is unrelated to the GRB.

We caution that the above analysis (particularly the wavelength 
solution) is preliminary. Reduction with updated calibrations is 
underway. We would like to thank Alain Smette (ESO) for his kind assistance.",4.8,GRB 100219A,VLT,Spectroscopic
10443,2010-02-20 06:58:52.000,"GRB 100219A - Gemini South SpectroscopyS. B. Cenko, J. S. Bloom, D. A. Perley, and B. E. Cobb (UC Berkeley)
report on behalf of a larger collaboration:

We have obtained spectra of the proposed host galaxy (Bloom and
Nugent, GCN 10433; Holland et al., GCN 10436) and the optical afterglow
(Jakobsson et al., GCN 10438; Kruehler et al., GCN 10439) of
GRB100219A (Rowlinson et al., GCN 10430) with the Gemini Multi-Object
Spectrograph mounted on the 8-m Gemini South telescope.  Our first
sequence of 2 x 900 s observations started at 2:44 UT on 20 February
2010 and cover the range from 6500 - 9500 A.  Only the proposed host
galaxy was contained on the slit for these spectra.  Our second set,
starting immediately afterward, cover the wavelength range from 4500 -
7500 A and both the proposed host and afterglow are positioned on the
slit.

From the nearby galaxy, we detect strong emissions features corresponding
to H-alpha, H-beta, and [O III] at a common redshift of z = 0.217.

The spectrum of the afterglow shows a strong break at ~ 6880 A, with
only faint continuum blueward of this feature.  Interpreting this as
the Lyman-alpha break, this correponds to a redshift of z ~ 4.7.  We
find marginal evidence for narrow absorption features corresponding to Si
II and Si II* at z = 4.65 redward of the break - however the relatively
low signal-to-noise ratio of our spectrum in this regime makes this result
somewhat uncertain.

Our derived redshifts for both objects are similar to, though slightly
less than, the values derived by Groot et al. (GCN 10441) from the
VLT/X-shooter.  They are also consistent with the photometric redshift of
z ~ 4.5 derived by Kruehler et al. (GCN 10439) from GROND.",z ~ 4.7,GRB100219A,Gemini South,Spectroscopic
10466,2010-03-03 16:38:03.000,"GRB 100302A: Gemini-North redshiftR. Chornock (Harvard), A. Cucchiara, D. Fox (Penn St.), and E. Berger (Harvard)
report on behalf of a larger collaboration:

Further analysis of the Gemini-North GMOS spectrum of the afterglow (Huang et
al., GCN 10461) of GRB 100302A (Cummings et al., GCN 10458) described in GCN
10465 (Cucchiara et al.) reveals that the afterglow shows a sharp increase in
continuum flux redward of 7100 Angs, with only a weak continuum detected between
5500 and 7000 Angs, consistent with absorption by H I at z~4.8.
There are several narrow absorption features superposed on the noisy red
continuum, consistent with N V, Si II, Si II*, and C II at a mean redshift of
4.813, which we identify as the redshift of this burst.",4.813,GRB 100302A,GMOS (Gemini-North),Spectroscopic
10495,2010-03-16 11:04:59.000,"GRB 100316B: VLT/X-shooter redshiftS.D. Vergani (APC/Univ. Paris 7), P. D'Avanzo (INAF-OAB), D. Malesani, 
J.P.U. Fynbo, J. Hjorth (DARK/NBI), A.J. Levan (Univ. Warwick), H. Flores
(Paris Obs.), N.R. Tanvir (Univ. Leicester), P. Goldoni (APC/Univ. Paris 7
and SAp/CEA), L.A. Antonelli (INAF-OAR) report on behalf of a larger
collaboration:

We observed the optical afterglow of GRB 100316B (Baumgartner et al., GCN
10489; Afonso et al. GCN 10493; Haislip et al., GCN 10494) with the VLT
equipped with the X-shooter spectrograph. Observations started on 2010 Mar
16 at 08:43 UT (~ 40 minutes after the GRB), for a total exposure time of
4x600 s. From the acquisition image, we estimate for the optical afterglow
a magnitude of R = 18.2 +- 0.1 (calibrated against USNO-B1.0).
In a preliminary analysis of the specta, we clearly detect the continuum
in the UVB, VIS, and NIR arms, corresponding to the wavelength range
3200-24000 AA. We detect several absorption features, among these
FeII(1608), AlII(1670), AlIII(1854), FeII(2344), FeII(2374), FeII(2382),
MgII(2796, 2803) and MgI(2852) at a common redshift of z=1.180. The lack
of Lyman forest lines down to ~3200 AA sets an upper limit to the redshift
z<1.6. We also find evidence for FeII lines and MgII doublet from a strong
intervening systems at z=1.063.

We caution that the above analysis (particularly the wavelength solution)
is preliminary. Reduction with updated calibrations is underway. We would
like to thank the ESO staff for their kind assistance, in particular Linda
Schmidtobreick, Christophe Martayan, Patricia Guajardo and Manuel
Olivares.",z=1.180,GRB 100316B,VLT,Spectroscopic
10517,2010-03-17 06:37:22.000,"Tentative redshift of GRB100316D from X-ray dataS. Campana (INAF-OAB) reports on behalf of the Swift-XRT team:

Swift XRT observed GRB 100316D (Stamatikos et al. 2010, GCN10496)
in Windowed Timing (WT) mode in the 144-737 s time interval.
During this interval the light curve decays very slowly (decay
index alpha=-0.13, Starling et al. 2010, GCN 10505).
In addition, the 1.5-10 keV to 0.3-1.5 keV hardness ratio remains
constant (reduced chi2=0.91 with 97 degrees of freedom, dof).
Motivated by the high count rate (around 30 c s^-1, but far from
the pile up limit) and by the constant spectral shape we tried to
estimate the GRB redshift from the X-ray data.
We assume a Galactic column density of 7x10^20 cm^-2 (Kalberla et
al. 2005, A&A 440 775) and fit the WT spectrum taken from the
Leicester pages (http://www.swift.ac.uk/xrt_spectra/00416135/)
with an absorbed (phabs*zphabs) cutoff power law model (the cutoff
power law model provides much better results in terms of column
density evaluation with respect to a simple power law model when
small spectral variations are present). Given the high count rate
we selected single pixel events only.
The resulting fit is good (reduced chi2=1.2, 333 dof). The redshift
is constrained to lie within the 90% confidence level (delta
chi2=4.61) of 0.014<z<0.28 (with a best fit redshift of z=0.1 and
intrinsic column density of N_H(z)=7x10^21 cm^-2).
Filtering WT counts with grades 0-2 (standard WT grades) slightly
shifts the best fit range to larger redshifts (in the approximate
range 0.1-0.6).

The contour plot is available at
http://www.brera.inaf.it/utenti/campana/100316d.gif

This circular is an official product of the Swift-XRT team.

[GCN OPS NOTE(18mar10):  Per author's request, the chi2=2.71 
was changed to chi2=4.61.]",0.1,GRB100316D,Swift-XRT,Spectroscopic
10588,2010-04-14 10:39:40.000,"Tentative redshift of GRB100413A from X-ray dataS. Campana (INAF-OAB), P.A. Evans (U. Leicester) and S. T. Holland
(CRESST/USRA/GSFC) report on behalf of the Swift-XRT team:

Swift XRT observed GRB 100413A (Holland et al. 2010, GCN 10581)
in Windowed Timing (WT) mode in the 146-550 s time interval.
During this interval the 1.5-10 keV to 0.3-1.5 keV hardness ratio slightly
decayed, testifying for small spectral variations.
We assume a Galactic column density of 7.3x10^20 cm^-2 (Kalberla et
al. 2005, A&A 440 775) and fit the WT spectrum with an absorbed
(tbabs*ztbabs) cutoff power law model within XSPEC (the cutoff power
law model provides much better results in terms of column density 
evaluation
with respect to a simple power law model when small spectral variations 
are present).
Data were grouped to have 30 counts per spectral bin. The resulting fit 
is good
(reduced chi2=0.9, 194 dof).
Filtering the data for single pixel events does not change the results.
In the intrinsic column density vs. redshift plane there is a low 
significance (3 sigma)
solution at low redshifts but the minimum lies at higher redshifts with 
a 2 sigma confidence
level solution of z=3.9+1.7-0.7 and N_H(z)=(5.5+9.8-2.1)x1022 cm-2.
Thus, even if we cannot exclude that GRB100413A is at low redshift, a 
high redshift (z~4),
highly absorbed (N_H(z)~6x1022 cm-2) solution is preferred.
This compares well with the non-detection with UVOT (Holland et al. 
2010) and
other robotic telescopes.

The contour plot is available at
http://www.brera.inaf.it/utenti/campana/100413.gif",z=3.9+1.7-0.7,GRB100413A,Swift XRT,Spectroscopic
10606,2010-04-17 08:16:49.000,"GRB 100414A: Gemini-N candidate and redshiftA. Cucchiara and D. B. Fox  (PSU) report on behalf of
a larger collaboration:

""Starting on 2010 April 17.26 UT we used the GMOS spectrograph
on the Gemini North 8-m telescope to observe the field of the
Fermi-LAT GRB 100414A (Takahashi et al. GCN 10594).

In our 5 min i'-band observation we detected a bright source
inside the refined XRT error circle (Page et al., GCN 10605)
at the following coordinate:

RA: 12:48:29.96
Dec: +8:41:34.91

with 0.5"" uncertainty in both directions.

Using two USNO-B1 stars we obtain i' = 20.37 +- 0.03 mag for this
object.
A sequence of 2x1200s spectra were also obtained with the same
instrument, covering a spectral range of 4000-8000A.

A series of metal absorption features were identified (FeII2374,
FeII2383,FeII2587,MnII2594, FeII2600, MgII2796,2803,MgI2853) at
the common redshift of z= 1.368.

We therefore suggest this as the redshift of GRB 100414A.
Further observations are planned.

We thank the Gemini staff for performing this observation,
in particular A. Fritz.""",z= 1.368,GRB 100414A,Gemini North 8-m telescope,Spectroscopic
10620,2010-04-19 08:56:13.000,"GRB100418A: VLT/X-shooter redshift and photometryL.A. Antonelli, J.R. Maund, E. Palazzi, P. Goldoni, S.D. Vergani, H. Flores, A. de Ugarte Postigo, S. Covino, J. Fynbo, J. Hjorth, D. Malesani, J. Sollerman, C.C. Thoene, on  behalf of the X-shooter GRB collaboration report:



We observed the field of GRB 100418A (Marshall et al. 2010, GCN 10612) with VLT/X-Shooter at Cerro Paranal (Chile). The observation started on Apr 19, at 5:32 UT (about 8.37 hrs after the burst) under very good observing conditions (seeing about 0.7"").  The object reported by Filgas and Greiner (GCN 10617) is clearly seen in our image at flux level of R = 18.1+/- 0.1 mag calibrated against USNO B.1 catalog. 

Spectra were acquired and in a preliminary analysis they show an abundance of UV absorption lines (Fe II, Mg II, Mg I, Mn II, Ca H,K) as well as [O II] emission at z = 0.6235 (wavelength calibration was obtained with archive calibration data).

We acknowledge the Paranal staff for the support.",0.6235,GRB100418A,VLT/X-Shooter,Spectroscopic
10624,2010-04-19 14:51:54.000,"GRB 100418A: Gemini-N redshift confirmationA. Cucchiara and D. B. Fox (PSU) report on behalf of a
larger collaboration:

""Starting on 2010 April 19.41 UT we used the GMOS spectrograph
on the Gemini North 8-m telescope to observe the field of the
Swift GRB 100418A (Marshall et al. GCN 10612).

A sequence of 2x1200s spectra were obtained covering the
spectral range of 4000-8000A.

A series of metal absorption features were identified (MgII2796,
2803,FeI3720, Ca H&K, CaI4227) and H-beta in emission at the
common redshift of z= 0.624, confirming the previously reported
result of Antonelli et al. GCN 10620.


We thank the Gemini staff for performing this observation,
in particular A. Fritz.""",0.624,GRB 100418A,Gemini North 8-m telescope,Spectroscopic
10684,2010-04-25 12:27:35.000,"GRB 100425A: VLT/X-shooter redshiftP. Goldoni (APC/Univ. Paris 7 and SAp/CEA), H. Flores (Paris Obs.), D. 
Malesani (DARK/NBI), A. J. Levan (Univ. Warwick), N. R. Tanvir (Univ. 
Leicester), J. P. U. Fynbo (DARK/NBI), report on behalf of a larger 
collaboration:

We observed the optical afterglow of GRB 100425A (Grupe et al., GCN 
10673; Malesani et al., GCN 10680; Olivares et al., GCN 10683) with th 
ESO VLT equipped with the X-shooter spectrograph. Four spectra lasting 
10 minutes each were obtained, covering the spectral range 3000-25000 
AA, starting on 2010 April 25, at 6:53 UT (4.0 hr after the GRB).

We detect the traces of both objects lying within the XRT error circle. 
Preliminary inspection of the spectrum of the afterglow reveals several 
absorption features which we interpret as due to Mg II and Fe II, at a 
common redshift z = 1.755.

We caution that the data reduction was carried out using archival 
calibration files. We acknowledge a particularly helpful and attentive 
support from the ESO staff in Paranal, especially Jonathan Smoker, 
Lorena Faundez, Manuel Olivares and Steffen Mieske.",1.755,GRB 100425A,ESO VLT,Spectroscopic
