Circular ID,Subject,Date,Label
20.0,GRB971227: Further CAHA R-band images,1997-12-31 00:00:00,Optical Observations
21.0,Optical Observations for GRB 971227 ,1997-12-31 00:00:00,Optical Observations
22.0,GRB 971227: Optical clarifications ,1998-01-01 00:00:00,Optical Observations
23.0,GRB971227: Plaskett R-band  observations,1998-01-01 00:00:00,Optical Observations
24.0,Optical Observations on GRB 971227 ,1998-01-02 00:00:00,Optical Observations
25.0,Optical Observations of the GRB 971227 field,1998-01-02 00:00:00,Optical Observations
26.0,GRB 971227: Optical Observations ,1998-01-04 00:00:00,Optical Observations
27.0,GRB971214: Keck R & I-band Observations,1998-01-11 00:00:00,Optical Observations
28.0,Near-IR follow-up on GRB 971227,1998-01-11 00:00:00,Optical Observations
29.0,GRB 971214: Redshift from Keck Observations,1998-01-11 00:00:00,Optical Observations
30.0,Optical Observations of GRB 970508 ,1998-02-24 00:00:00,Optical Observations
31.0,GRB970508 SAO RAS optical observations,1998-03-26 22:08:00,Optical Observations
32.0,GRB980326 optical observations,1998-03-28 17:56:00,Optical Observations
33.0,GRB980326 optical observations,1998-03-29 05:04:37,Optical Observations
34.0,GRB980326 optical observations,1998-03-30 20:00:18,Optical Observations
35.0,GRB980326 optical observations,1998-03-31 19:11:38,Optical Observations
36.0,GRB980329 optical observations,1998-04-01 13:55:07,Optical Observations
37.0,GRB980329 optical observations,1998-04-01 17:06:12,Optical Observations
38.0,GRB980329 optical observations,1998-04-03 04:39:09,Optical Observations
39.0,GRB980329 near IR observations,1998-04-03 04:43:52,Optical Observations
40.0,GRB980329 VLA observations,1998-04-03 07:10:15,Radio Observations
41.0,GRB980329 optical observations,1998-04-03 10:14:45,Radio Observations
42.0,GRB980326 optical observations,1998-04-03 10:32:04,Optical Observations
43.0,GRB980329 optical observations,1998-04-03 11:00:40,Radio Observations
44.0,GRB980329 infrared observations,1998-04-03 14:03:12,Radio Observations
45.0,GRB980329 optical observations,1998-04-04 01:31:58,Radio Observations
46.0,GRB980329 near-IR observations,1998-04-04 15:19:06,Optical Observations
47.0,GRB980329 near-IR observations,1998-04-05 00:54:00,Radio Observations
48.0,GRB980329 optical observations,1998-04-06 19:07:37,Optical Observations
49.0,GRB980329 IPN annulus,1998-04-06 20:12:03,High Energy Observations
50.0,GRB980329 sub-millimeter observations,1998-04-07 18:02:12,Radio Observations
51.0,GRB980329 Keck K-band observations,1998-04-07 23:43:38,Radio Observations
52.0,GRB980329,1998-04-08 12:08:04,Radio Observations
53.0,GRB980326 IPN annulus,1998-04-09 01:05:15,High Energy Observations
54.0,"GRByymmdd, Announcement of automation",1998-04-10 22:50:21,High Energy Observations
55.0,"GRB980329, Fading IR counterpart to radio source",1998-04-12 14:10:51,Radio Observations
56.0,"GRB980326, optical observations",1998-04-22 04:23:19,Optical Observations
57.0,"GRB980326, optical observations",1998-04-23 05:30:47,Optical Observations
58.0,GRB980326 X-ray Observations,1998-04-23 22:05:05,Optical Observations
59.0,GRB 980329 ROSAT observation,1998-04-28 05:57:50,Optical Observations
60.0,GRB 980425 optical observations,1998-04-29 18:17:16,Optical Observations
61.0,report on BSAX observations of GRB980425,1998-04-29 20:23:22,Optical Observations
62.0,GRB 980425 optical observations,1998-04-30 11:20:39,Optical Observations
63.0,GRB980425: Radio Observations,1998-05-01 20:44:46,Radio Observations
64.0,GRB980425: optical obs.,1998-05-01 20:56:14,Optical Observations
65.0,GRB 980425 optical observations,1998-05-02 20:57:29,Optical Observations
66.0,SAX J0840.7+2248 Optical Observations,1998-05-03 00:13:16,Optical Observations
67.0,GRB980425 BATSE observations,1998-05-08 21:46:07,High Energy Observations
68.0,IPN web site of GRBs,1998-05-11 18:40:19,Radio Observations
69.0,BSAX Observations of GRB980425 field,1998-05-12 13:58:01,High Energy Observations
70.0,GRB 980425 Brightness Temperature,1998-05-13 00:52:08,Radio Observations
71.0,GRB 980425 Radio Light Curve,1998-05-13 03:15:41,Radio Observations
72.0,BeppoSAX GRB ALERT: updated position of grb980515,1998-05-16 01:20:13,High Energy Observations
73.0,GRB980515: SAX-WFC updated position,1998-05-18 22:38:00,High Energy Observations
74.0,"GRB980519, BeppoSAX-WFC position",1998-05-19 17:02:00,High Energy Observations
75.0,"GRB980519, BeppoSAX-WFC updated position",1998-05-19 17:19:24,High Energy Observations
76.0,BATSE on-board GRB trigger change,1998-05-19 22:34:03,Radio Observations
77.0,"GRB980515, BeppoSAX IAUC to be submitted",1998-05-19 22:57:51,Optical Observations
78.0,GRB980519 optical observations,1998-05-20 02:46:49,Optical Observations
79.0,GRB 980519 Optical Observations,1998-05-20 12:35:45,Optical Observations
80.0,GRB980519 Optical Observations,1998-05-20 15:11:30,Optical Observations
81.0,GRB980519 IPN POSITION,1998-05-20 17:01:26,Optical Observations
82.0,GRB980519 Optical Observations,1998-05-20 19:55:36,Optical Observations
83.0,GRB980519 Optical Observations,1998-05-20 23:16:27,Optical Observations
84.0,GRB980519 optical observations,1998-05-21 09:17:17,Optical Observations
85.0,"GRB970519, optical follow-up at Schmidt Calern",1998-05-21 14:56:00,Optical Observations
86.0,GRB980519 BATSE Observations,1998-05-21 18:33:07,High Energy Observations
87.0,GRB 980519 Optical Observations,1998-05-22 00:47:18,Optical Observations
88.0,GRB980519 optical observations,1998-05-22 22:19:07,Optical Observations
89.0,GRB 980519,1998-05-22 22:21:24,Radio Observations
90.0,GRB980519 I-band observations,1998-05-22 22:23:30,Optical Observations
91.0,GRB980519 optical observations,1998-05-22 23:19:18,Optical Observations
92.0,GRB 980519 Optical Observations,1998-05-25 23:58:13,Optical Observations
93.0,BATSE on-board GRB trigger change,1998-06-01 18:35:57,High Energy Observations
94.0,SGR1900+14,1998-06-03 01:03:48,High Energy Observations
95.0,SGR1900+14,1998-06-03 01:40:08,High Energy Observations
96.0,GRB980519 Secondary Standards,1998-06-05 00:37:19,Optical Observations
97.0,SGR 1900+14,1998-06-05 00:43:43,Optical Observations
98.0,GRB971214 Secondary Standards,1998-06-05 23:52:32,Optical Observations
99.0,"GRB980613, BeppoSAX WFC positions",1998-06-13 15:35:21,High Energy Observations
100.0,GRB980611,1998-06-13 17:54:26,Radio Observations
101.0,GRB980613 Near Infra-Red Observations,1998-06-14 05:15:09,Optical Observations
102.0,GRB 980613 optical/IR obs.,1998-06-14 11:56:29,Optical Observations
103.0,GRB 980613 new optical/IR observations,1998-06-15 19:53:08,Optical Observations
104.0,GRB980613 BeppoSAX-NFI follow up,1998-06-15 23:10:17,High Energy Observations
105.0,GRB980613 observations from Palomar,1998-06-16 13:01:02,Optical Observations
106.0,GRB980613 Optical Observations,1998-06-16 23:16:03,Optical Observations
107.0,"Discovery of a new SGR source, SGR1627-41",1998-06-18 03:36:20,High Energy Observations
108.0,GRB 980613 optical observations,1998-06-18 14:37:20,Optical Observations
109.0,GRB 980613 Optical Observations,1998-06-18 16:18:04,Optical Observations
110.0,SGR 1627-41,1998-06-18 18:49:41,High Energy Observations
111.0,"SGR1627-41, BeppoSAX-GRBM detections",1998-06-18 22:31:25,High Energy Observations
112.0,GRB 980613: BATSE Observations,1998-06-19 01:46:59,High Energy Observations
113.0,Reduced error box of SGR 1627-41,1998-06-19 03:40:23,High Energy Observations
114.0,GRB 980613:  Detection of the probable host galaxy,1998-06-19 07:24:37,Optical Observations
115.0,"SGR1627-41, Refined IPN annulus location",1998-06-19 13:55:01,High Energy Observations
116.0,"SGR1627-41, RXTE/ASM observations",1998-06-19 17:20:20,High Energy Observations
117.0,GRB 980613:  Optical transient and its host galaxy,1998-06-19 23:23:44,Optical Observations
118.0,"GRB980613, optical observations",1998-06-22 15:26:21,Optical Observations
119.0,GRB 980613 Near-IR observations,1998-06-23 20:36:15,Optical Observations
120.0,SGR1900+14 field optical observations,1998-06-30 17:05:16,Optical Observations
121.0,Radio observations of SGRs,1998-07-01 17:10:46,Radio Observations
122.0,SGR1627-41,1998-07-03 23:44:44,Radio Observations
123.0,GRB980703 optical followup,1998-07-04 18:56:25,Optical Observations
124.0,GRB980519 observation report,1998-07-06 11:22:28,Optical Observations
125.0,GRB980703,1998-07-06 20:11:29,High Energy Observations
126.0,GRB 980703: ASM Position & Intensity,1998-07-06 22:01:04,High Energy Observations
127.0,BeppoSAX NFI observations of GRB 980703,1998-07-06 22:25:08,Optical Observations
128.0,GRB980703: radio source/optical transient,1998-07-06 23:08:34,Radio Observations
129.0,GRB980706,1998-07-07 00:21:21,High Energy Observations
130.0,GRB980703 (optical R observations),1998-07-07 02:39:52,Optical Observations
131.0,GRB 980703 H-band Observations,1998-07-07 04:08:44,Optical Observations
132.0,GRB980703 (I band observations),1998-07-07 13:14:54,Optical Observations
133.0,GRB 980703,1998-07-07 15:23:11,Optical Observations
134.0,GRB980613 Optical Observations,1998-07-07 18:13:02,Optical Observations
135.0,GRB980703: LOTIS observation at early times,1998-07-07 23:25:03,High Energy Observations
136.0,GRB980703 Transient Optical Follow-Up,1998-07-08 01:09:23,Radio Observations
137.0,GRB980703:  Spectrum of the proposed optical counterpart,1998-07-08 01:14:18,Radio Observations
138.0,RXTE Observation of GRB 980706,1998-07-08 03:51:42,High Energy Observations
139.0,GRB 980703:  Spectrum of the proposed optical counterpart,1998-07-08 08:03:20,Radio Observations
140.0,GRB980703 H-band Observations,1998-07-09 00:02:42,Optical Observations
141.0,GRB980703: Radio transient,1998-07-09 02:10:20,Radio Observations
142.0,GRB980703 optical observations,1998-07-09 13:14:21,Radio Observations
143.0,GRB 980703: BATSE Observations,1998-07-09 15:45:26,High Energy Observations
144.0,GRB980703 optical photometry,1998-07-12 06:03:58,Optical Observations
145.0,GRB 980703 (NFI observations),1998-07-17 16:59:48,Radio Observations
146.0,GRB980703 - BeppoSAX/GRBM detection,1998-07-17 20:30:24,High Energy Observations
147.0,"GRB980703, Host galaxy multicolor photometry",1998-07-28 12:43:21,Optical Observations
148.0,"GRB980519, Optical Observations",1998-07-29 16:15:36,Optical Observations
149.0,Optical Observations of the Host Galaxy of GRB 980519,1998-08-03 17:26:21,Optical Observations
150.0,"GRB971214, association with a Galactic star?",1998-08-16 15:31:05,Optical Observations
151.0,GRB970508 optical observations,1998-08-21 17:21:17,Optical Observations
152.0,GRB980703 Very Long Baseline Interferometry,1998-08-27 15:49:28,Radio Observations
153.0,"SGR1900+14, BeppoSAX-GRBM observations",1998-09-01 15:49:39,High Energy Observations
154.0,GRB 980923 BATSE Observations,1998-09-30 19:42:09,High Energy Observations
155.0,GRB980425: X-ray revised positions,1998-10-20 21:26:03,Optical Observations
156.0,GRB980425 Optical Follow-up,1998-10-22 05:47:13,Optical Observations
157.0,"GRB980329 R,I flux calibration and R,I,K upper limits",1998-11-19 06:44:24,Optical Observations
158.0,BeppoSAX NFI Observation of GRB980425,1998-12-16 14:23:16,High Energy Observations
159.0,GRB 981220: RXTE/ASM and BeppoSAX/GRBM results,1998-12-22 17:14:20,Optical Observations
160.0,GRB981220 IPN error box,1998-12-22 18:06:16,High Energy Observations
161.0,GRB 980326/Host Galaxy,1998-12-23 02:48:56,Optical Observations
162.0,"GRB 981220, optical observations",1998-12-23 04:33:28,Optical Observations
163.0,GRB 981220 Optical Observations,1998-12-23 09:41:29,Optical Observations
164.0,GRB 981220,1998-12-23 20:06:07,Optical Observations
165.0,GRB981220 Optical Observations,1998-12-23 20:31:13,Optical Observations
166.0,GRB981220 I-band Observations,1998-12-24 10:57:03,Optical Observations
167.0,GRB 981220: BeppoSAX/GRBM results,1998-12-24 15:40:36,High Energy Observations
168.0,"GRB 981220, radio observations",1998-12-24 18:48:32,Radio Observations
169.0,GRB981226 Optical Observation,1998-12-27 07:00:13,Optical Observations
170.0,"GRB 981220, radio observations",1998-12-27 17:50:52,Radio Observations
171.0,GRB 981220,1998-12-27 18:20:07,Optical Observations
172.0,GRB 981226 optical observations,1998-12-27 23:29:52,Optical Observations
173.0,GRB 981226 - Infrared Observations,1998-12-28 03:58:18,Optical Observations
174.0,"GRB981226, BeppoSAX Christmas GRB",1998-12-28 05:03:57,High Energy Observations
175.0,GRB 981220 optical R and I observations,1998-12-28 17:11:54,Optical Observations
176.0,GRB 981220:Optical Observations,1998-12-29 04:26:33,Radio Observations
177.0,Optical Observations of GRB981226,1998-12-29 05:19:21,Optical Observations
178.0,"GRB981226, BeppoSAX-NFI follow-up",1998-12-29 14:40:10,High Energy Observations
179.0,"GRB981220 B, R and I band observations",1998-12-29 15:51:40,Optical Observations
180.0,radio observations of GRB 981226,1998-12-29 23:20:35,Radio Observations
181.0,GRB 981226 optical observations,1998-12-30 05:52:14,Optical Observations
182.0,GRB 981226,1998-12-30 07:02:49,Optical Observations
183.0,GRB 981226 radio observations,1998-12-30 19:38:44,Radio Observations
184.0,GRB981226 BeppoSAX follow up,1998-12-30 22:44:28,Optical Observations
185.0,GRB981226 Optical Observations,1998-12-31 11:37:38,Optical Observations
186.0,"GRB 981220 and GRB 981226, optical observations",1998-12-31 16:27:27,Radio Observations
187.0,"GRB981220, sub-millimeter observations",1999-01-02 22:20:45,Radio Observations
188.0,"GRB981226, sub-millimeter observations",1999-01-02 22:29:23,Optical Observations
189.0,GRB 980613:  Spectroscopy of the host galaxy,1999-01-03 22:18:24,Optical Observations
190.0,GRB 981226 Optical Observations,1999-01-06 12:56:10,Optical Observations
191.0,GRB 981220 Optical observations,1999-01-09 00:35:46,Radio Observations
192.0,"GRB981220, Optical Observations",1999-01-11 10:10:55,Radio Observations
193.0,"GRB981220, Correction to GCN 179",1999-01-13 09:07:17,Optical Observations
194.0,GRB981220,1999-01-14 20:30:01,Optical Observations
195.0,GRB 981226: radio variable,1999-01-20 05:07:06,Radio Observations
196.0,Optical Observations of GRB 981220,1999-01-20 19:15:53,Radio Observations
197.0,Possible identification of SN1999E with GRB980910,1999-01-21 23:32:12,Optical Observations
198.0,SN 1999E & GRB 980919,1999-01-22 00:21:05,Radio Observations
199.0,"GRB990123, BeppoSAX WFC detection and NFI planned follow-up",1999-01-23 14:53:46,High Energy Observations
200.0,"GRB 990123, Radio observations",1999-01-23 16:24:28,Radio Observations
201.0,"GRB 990123: Bright New Source, Possible Optical Transient",1999-01-23 17:18:18,Optical Observations
202.0,"GRB990123, refined SAX-WFC position",1999-01-23 17:55:33,High Energy Observations
203.0,"GRB990123, BeppoSAX-NFI X-ray afterglow detection",1999-01-23 18:47:56,High Energy Observations
204.0,GRB990123 Optical Observation,1999-01-23 22:44:31,Optical Observations
205.0,"GRB990123, early optical counterpart detection",1999-01-23 23:15:16,Optical Observations
206.0,GRB 990123 Optical Follow-up,1999-01-24 00:01:51,Optical Observations
207.0,GRB 990123 r-band photometry,1999-01-24 03:33:59,Optical Observations
208.0,GRB 990123: Optical Decay Slope,1999-01-24 09:12:10,Optical Observations
209.0,"GRB990123, Optical observation",1999-01-24 13:26:03,Optical Observations
210.0,GRB990123 optical observations,1999-01-24 15:35:49,Optical Observations
211.0,"GRB 990123, new radio source",1999-01-24 16:56:38,Radio Observations
212.0,GRB 990123 radio observations,1999-01-24 19:19:16,Radio Observations
213.0,GRB 990123:  Pre-Burst Detection of an Apparent Host Galaxy,1999-01-24 22:11:08,Optical Observations
214.0,GRB 990123 optical observations,1999-01-25 01:30:13,Optical Observations
215.0,"GRB990123, optical observation",1999-01-25 01:50:49,Optical Observations
216.0,GRB 990123: Possible Gravitationally Lensed Burst?,1999-01-25 01:57:11,Optical Observations
217.0,GRB 990123 Optical Follow-Up,1999-01-25 08:19:31,Optical Observations
218.0,"GRB 990123: New Optical Observations, Decay Measure",1999-01-25 10:34:08,Optical Observations
219.0,GRB 990123 Spectroscopic Redshifts,1999-01-25 11:22:11,Optical Observations
220.0,GRB990123 Optical Observations,1999-01-25 15:30:47,Optical Observations
221.0,GRB 990123 : Multiple and Distorted Images of the Host Galaxy?,1999-01-25 17:07:56,Optical Observations
222.0,GRB990123 IPN annulus,1999-01-25 18:10:30,Optical Observations
223.0,GRB 990123 Keck Spectrum update,1999-01-25 21:58:44,Optical Observations
224.0,GRB 990123: BATSE Observations,1999-01-25 22:18:55,High Energy Observations
225.0,GRB 990123; Addendum to GCN 223,1999-01-25 23:21:07,High Energy Observations
226.0,GRB 990123 Optical Follow-Up,1999-01-26 01:01:29,Optical Observations
227.0,"""GRB 990123: New BV Observations""",1999-01-26 02:30:05,Optical Observations
228.0,"GRB990123, ASCA X-ray observation of afterglow",1999-01-26 15:17:19,Optical Observations
229.0,GRB990123: NIR Observation,1999-01-26 19:56:17,Optical Observations
230.0,GRB 990123: Strong MeV CGRO-COMPTEL detection now posted on WWW,1999-01-26 22:15:07,High Energy Observations
231.0,"GRB990123, OSSE observations",1999-01-27 09:57:44,High Energy Observations
232.0,GRB 990123: near-infrared observations.,1999-01-27 14:51:12,Optical Observations
233.0,"GRB990123, Optical BVRI Observations",1999-01-27 19:24:25,Optical Observations
234.0,Search for Potential Images of GRB 990123,1999-01-27 20:27:44,Optical Observations
235.0,Search for Potential Images of GRB 990123,1999-01-27 21:46:09,Optical Observations
236.0,On the Lensing Interpretation of GRB 990123,1999-01-28 10:49:17,Radio Observations
237.0,GRB 990123: Correction to GCN 230 - C.A. Young added to author list,1999-01-28 21:01:26,High Energy Observations
238.0,"GRB990123, Preliminary Lens Search Results",1999-01-28 21:35:38,Optical Observations
239.0,GRB 990123: Continued Radio Observations,1999-01-29 04:22:52,Radio Observations
240.0,"GRB 990123:  Detection of the IR Transient, and the Light Curve Fits",1999-01-29 04:31:21,Radio Observations
241.0,"GRB990123, Probability of gravitational lensing",1999-01-31 02:31:33,Radio Observations
242.0,GRB990123 Optical Observations,1999-02-01 02:19:38,Optical Observations
243.0,GRB 990123:  New Constraints on Possible Foreground Galaxies,1999-02-01 15:21:54,Optical Observations
244.0,"GRB990123, 15-GHz limits",1999-02-01 22:48:20,Radio Observations
245.0,"GRB990123, Upcoming HST Service Observations",1999-02-03 15:03:58,Optical Observations
246.0,GRB 990123: Publicly available reduced HST images,1999-02-03 15:47:41,Optical Observations
247.0,"GRB990123, is the ""radio flare"" due to an inhomogeneous medium?",1999-02-03 18:17:17,Radio Observations
248.0,"GRB990123, Optical observation",1999-02-03 20:02:38,Optical Observations
249.0,GRB 990123 NOT Spectrum Update,1999-02-03 22:46:15,High Energy Observations
250.0,"GRB981220, field photometry",1999-02-04 17:32:35,Optical Observations
251.0,GRB 990123: Updated Keck Spectroscopy Results,1999-02-05 02:31:18,Optical Observations
252.0,GRB 990123: BVRI standards in the field,1999-02-08 06:29:35,Optical Observations
253.0,GRB19990123 observations,1999-02-08 17:31:10,Optical Observations
254.0,For Immediate Posting to GCN - HST Data GRB 990123 Available,1999-02-09 18:07:15,Optical Observations
255.0,GRB 990123: Reduced HST Images,1999-02-09 19:22:51,Optical Observations
256.0,GRB 990123:  Discovery of the Probable Host Galaxy,1999-02-09 21:41:21,Optical Observations
257.0,"GRB990123, Optical Observation",1999-02-15 05:21:39,Optical Observations
258.0,"GRB990217, WFC position",1999-02-17 14:09:13,High Energy Observations
259.0,GRB990217 Optical observation,1999-02-18 21:26:26,Optical Observations
260.0,GRB990123 observations,1999-02-19 13:42:03,Optical Observations
261.0,GRB990123: Caltech STIS Photometry and Images,1999-02-19 13:52:30,Optical Observations
262.0,Optical Observations of GRB990217,1999-02-19 18:06:55,Optical Observations
263.0,GRB990217: BeppoSAX/GRBM data,1999-02-22 19:56:01,High Energy Observations
264.0,BATSE Flight Anomaly,1999-02-22 23:06:10,High Energy Observations
265.0,BATSE Resumes Normal Operations,1999-02-23 15:24:48,High Energy Observations
266.0,"GRB 990217, radio observations",1999-02-24 03:08:48,Radio Observations
267.0,GRB 990217 Optical Observations,1999-02-26 16:07:14,Optical Observations
268.0,"GRB 990123, Field Photometry",1999-02-26 18:13:16,Optical Observations
269.0,"GRB 981220, radio observations",1999-03-03 18:44:34,Radio Observations
270.0,"GRB981220, IPN localization",1999-03-03 18:53:32,Radio Observations
271.0,"GRB990308, Possible new SGR~0209+70",1999-03-08 22:07:34,High Energy Observations
272.0,"GRB990308 (Trig. 7457), optical observations",1999-03-10 11:51:21,Optical Observations
273.0,GRB 990308a and GRB 990308b,1999-03-10 16:17:22,High Energy Observations
274.0,GRB990308 not a new SGR,1999-03-10 17:48:16,High Energy Observations
275.0,ASM/IPN error box for GRB 990308 (BATSE #7457),1999-03-14 19:43:32,High Energy Observations
276.0,GRB990316 - Optical null results,1999-03-17 14:59:23,Optical Observations
277.0,GRB990316: simultaneous optical observation,1999-03-18 03:27:59,Optical Observations
278.0,GRB 990316 optical observations,1999-03-18 13:16:57,Optical Observations
279.0,"GRB990316, Optical observations",1999-03-19 12:11:31,Optical Observations
280.0,"GRB 990316, Optical observations",1999-03-19 18:01:47,Optical Observations
281.0,"GRB 990316, Radio observations",1999-03-21 22:34:17,Radio Observations
282.0,GRB 990316 Optical Observations,1999-03-22 23:26:48,Optical Observations
283.0,GRB990321 IPN TRIANGULATION,1999-03-23 22:55:15,High Energy Observations
284.0,GRB990323 PRECISE IPN POSITION,1999-03-25 18:23:52,High Energy Observations
285.0,GRB990321 REFINED IPN ANNULUS,1999-03-27 19:47:25,High Energy Observations
286.0,GRB980425 Optical observations of exponential decline at late time,1999-03-30 21:40:33,Optical Observations
287.0,GRB981220 VLBA observations,1999-03-30 22:18:31,Radio Observations
288.0,IPN localization of GRB990427,1999-04-28 21:59:44,High Energy Observations
289.0,GRB 970228: Redshift and properties of the host galaxy,1999-05-03 18:05:33,Optical Observations
290.0,IPN localization for GRB990506,1999-05-06 20:28:10,High Energy Observations
291.0,New IPN/RXTE error box for GRB990506,1999-05-06 20:47:37,High Energy Observations
292.0,GRB990506 observation plan,1999-05-06 21:29:49,Optical Observations
293.0,GRB990506 Optical observations,1999-05-07 02:41:57,Optical Observations
294.0,"GRB 990506, optical observations",1999-05-07 06:18:50,Optical Observations
295.0,"GRB 990506, optical observations from +1 to +3 hours",1999-05-07 07:54:16,Optical Observations
296.0,"GRB 990506, armchair astronomy",1999-05-07 08:07:16,Optical Observations
297.0,GRB 990506: Limits on the possible optical transient,1999-05-07 18:58:14,Optical Observations
298.0,Refined IPN error box for GRB990506,1999-05-07 20:49:45,High Energy Observations
299.0,GRB990506 observation plan,1999-05-07 23:17:44,High Energy Observations
300.0,"GRB 990506, optical observations",1999-05-08 09:36:46,Optical Observations
301.0,GRB 990506 optical observations,1999-05-08 17:33:10,Optical Observations
302.0,GRB 990506 optical observations,1999-05-08 21:14:49,Optical Observations
303.0,"GRB 990506, Optical Observations",1999-05-09 03:10:15,Optical Observations
304.0,GRB 990510: Final BeppoSAX-WFC Coordinates,1999-05-10 13:49:47,High Energy Observations
305.0,"GRB 990506, optical observations",1999-05-10 17:55:55,Optical Observations
306.0,GRB 990506: BATSE Observations,1999-05-10 18:01:10,High Energy Observations
307.0,"GRB 990123, optical monitoring",1999-05-10 19:04:54,Optical Observations
308.0,GRB 990506 Radio Observations,1999-05-10 19:15:21,Radio Observations
309.0,IPN localization of GRB990510,1999-05-10 20:19:19,High Energy Observations
310.0,GRB 990510 optical observations,1999-05-10 20:35:55,Optical Observations
311.0,GRB990510: NFI X-ray source,1999-05-10 21:38:12,High Energy Observations
312.0,Galactic extinction towards GRB 990510,1999-05-10 22:21:11,Optical Observations
313.0,GRB 990510 optical observations,1999-05-11 02:15:39,Optical Observations
314.0,GRB 990510 optical observations,1999-05-11 05:31:52,Optical Observations
315.0,GRB990510,1999-05-11 12:56:04,Optical Observations
316.0,GRB990510 optical observations,1999-05-11 13:06:28,Optical Observations
317.0,GRB 990510: BeppoSAX/GRBM observations,1999-05-11 19:35:50,High Energy Observations
318.0,GRB 990510 optical observations,1999-05-12 03:20:47,Optical Observations
319.0,"GRB 990510, BVI photometry",1999-05-12 12:47:54,Optical Observations
320.0,GRB 990510 Optical Observations,1999-05-12 14:43:50,Optical Observations
321.0,GRB990510: optical observation,1999-05-12 15:43:02,Optical Observations
322.0,GRB 990510: BATSE Observations,1999-05-12 22:10:44,High Energy Observations
323.0,GRB 990510: Broad Band Break,1999-05-13 05:12:06,Optical Observations
324.0,VLT spectrum of GRB990510,1999-05-13 20:50:38,Optical Observations
325.0,GRB 990510: optical observation,1999-05-14 00:45:00,Optical Observations
326.0,GRB990510: X-ray afterglow,1999-05-14 02:55:53,Optical Observations
327.0,GRB 990506 R band observations,1999-05-14 14:57:41,Optical Observations
328.0,"GRB990510, VI observations",1999-05-14 15:02:30,Optical Observations
329.0,GRB 990510: optical observations,1999-05-16 23:26:57,Optical Observations
330.0,GRB 990510: optical linear polarization,1999-05-17 11:51:55,Optical Observations
331.0,GRB990510: photometric and spectroscopic observations with the VLT,1999-05-18 17:23:27,Optical Observations
332.0,GRB 990510: optical observations,1999-05-18 22:10:54,Optical Observations
333.0,BeppoSAX: A new fast X-ray transient,1999-05-20 15:55:58,High Energy Observations
334.0,radio detection of X-ray/GRB transient,1999-05-20 22:55:34,Radio Observations
335.0,Optical report on X-ray/GRB transient,1999-05-20 23:14:55,Radio Observations
336.0,optical observation of the X-ray/GRB transient SAX J0835.9+5118,1999-05-21 00:01:04,Optical Observations
337.0,radio observations of X-ray/GRB transient field,1999-05-21 04:56:52,Radio Observations
338.0,"X-ray/GRB 1SAX J0835.9+5118, Optical Observation",1999-05-21 08:50:48,Optical Observations
339.0,"X-ray/GRB 1SAX J0835.9+5118, Optical Observation",1999-05-21 15:55:42,Optical Observations
340.0,"X-ray/GRB 1SAX J0835.9+5118, Optical Observation",1999-05-21 16:46:04,Optical Observations
341.0,"X-ray/GRB 1SAX J0835.9+5118, Optical Observation",1999-05-22 08:23:45,Optical Observations
342.0,GRB 990506 optical observation,1999-05-22 13:24:59,Optical Observations
