Circular Number,Circular Date,Text,Predicted Redshift,Predicted GRB Number,Predicted Telescope Name,Predicted Redshift Type,Parsed Redshift
9216,2009-04-24 03:17:30.000,"GRB 090423: TNG Amici spectrumC. C. Thoene (INAF-OAB), P. D'Avanzo (INAF-OAB/U. Bicocca), A.
Fernandez-Soto (IFCA-Santander), S. Campana, D. Fugazza (INAF-OAB), 
L.A. Antonelli (INAF-OAR), G. Chincarini (Univ. Bicocca), S. Covino
(INAF-OAB), V. D'Elia (INAF-OAR), A. De Ugarte-Postigo (ESO), D.
Malesani (Dark/NBI), E. Palazzi (IASF-Bo), R. Salvaterra (INAF-OAB), A.
Fiorenzano (TNG) report, on behalf of a larger collaboration:

We observed the afterglow of GRB 090423 (Krimm et al. GCN 9198; Tanvir 
et al. GCN 9202; Levan et al., GCN 9206; Cucchiara et al., GCN 9209) 
with the Italian TNG 3.6m telescope located in the Canary Islands 
(Spain). The observations were performed using the Amici grism. We took 
a 2 hrs spectrum starting around Apr 23 at 22:16 UT (about 14.35 hours 
after the burst) and covering the range 600-2700 nm with a resolution of 
R ~ 50.

A preliminary analysis of the combined spectrum shows a very weak signal 
at the position of the NIR afterglow. No signal is observed below 
observed lambda ~ 10500 Angstrom. Assuming that the lack of signal at 
bluer wavelengths is due to Ly-alpha absorption in the IGM this gives a 
redshift of z ~ 7.6 (in agreement with the estimate of Olivares et al., 
GCN 9215). We point out that our wavelength calibration is based on an 
archival wavelength table.

We are very grateful for the excellent support of the TNG staff.

[GCN OPS NOTE(24apr09): Per author's request, the author list was revised.]",z ~ 7.6,GRB 090423,Italian TNG 3.6m telescope,Spectroscopic,7.6
9151,2009-04-18 12:34:39.000,"GRB 090418 Lick RedshiftR. Chornock, S. B. Cenko, C. V. Griffith, M. E. Kislak, I. K. W. Kleiser, and
A. V. Filippenko (UC Berkeley) report:

We obtained optical spectra of the afterglow of GRB 090418 (Chornock et al., GCN
9148; Mangano et al., GCN 9149; Yuan et al., GCN 9150) using the Kast
spectrograph on the Lick 3-meter telescope.  Our first 900s exposure, starting
at 11:21:16 UT (only 816s after the burst trigger) reveals a smooth continuum
extending to the blue limit of our spectra (3450 Angs).  Superposed on the
continuum are absorption lines of C IV, Mg II, Fe II, Al II, and Mg I at
z=1.608, which we suggest is the redshift of this burst.  Further analysis is
ongoing.",1.608,GRB 090418,Lick 3-meter telescope,Spectroscopic,1.608
9028,2009-03-24 07:18:48.000,"GRB 090323 Gemini-South RedshiftR. Chornock, D. A. Perley, S. B. Cenko, and J. S. Bloom (UC Berkeley) report on
behalf of a larger collaboration:

We performed spectroscopy on the afterglow of GRB 090323 (Ohno et al., GCN 9021;
Updike et al., GCN 9026; Cenko and Perley, GCN 9027) using Gemini-South (GMOS)
starting at 05:58 UT on 2009-03-24, approximately 30 hours after the trigger.
We conducted a series of four exposures of 600 seconds, two using the B600
grating centered at 6000 Angstroms and two with the R400 grating centered at
8000 Angstroms.

The first spectrum shows strong absorption blueward of 5580 Angs, which we
identify as the onset of the Lyman-alpha forest at z=3.6.  There are also narrow
absorptions with multiple components from C IV, O I, C II, and Si IV at a
consistent redshift of z=3.57.  Further analysis is ongoing.

We would like to thank the Gemini-S staff, in particular Etienne Artigau, Lucas
Fuhrman, and Benoit Neichel, for their support with these observations.",z=3.57,GRB 090323,Gemini-South (GMOS),Spectroscopic,3.57
9015,2009-03-23 02:58:03.000,"X-shooter observations of GRB 090313A. de Ugarte Postigo, S. DOdorico (ESO PI), J. Vernet, A. Modigliani,
S. Ramsay from ESO Commissioning team;
S. Covino (INAF Brera), H. Flores (Obs. Paris), J. Fynbo, J. Hjorth
(NBI/DARK, U. Copenhagen) and R.A.M.J. Wijers (Astr. Institute,
U. Amsterdam) from the X-shooter GRB team;
F. Hammer (Obs. Paris), L. Kaper (Astr. Institute, U. Amsterdam),
P. Kjaergaard (NBI, U. Copenhagen), S. Randich (INAF Arcetri) as
X-shooter PIs;
P.J. Groot (Radboud Univ. Nijmegen) from the X-shooter Science Team.

On March 15.22 UT we initiated observations of GRB 090313 (Chornock
et al., GCNC 8979; Mao et al., GCNC 8980) with X-shooter at the ESO
Melipal telescope of the Paranal Observatory. X-shooter is the first
of the second-generation VLT instruments and includes three
Echelle spectrographs, the Ultraviolet/Blue (UVB), the Visible (VIS)
and the Near Infrared (NIR), which combined provide a fixed spectral
format and cover in one shot the spectral range 3000 - 24000 A at
medium spectral resolution (R = 4000 - 10000 depending on the arm
and slit width). The mean epoch of the observation was 45.3 hours
after the burst, when the afterglow had faded to R ~ 21.6 (Perley et
al. GCNC 9001; Cobb et al. GCNC 9008). In the 4 x 1500 s combined
spectrum we clearly detect continuum above 5580 A with several
absorption lines; below this, the signal is dominated by background
emission produced by the nearby Moon (90 % illumination at 37 deg
from the field). The spectrum indicates an absorption redshift
of z = 3.3721  0.0004 (consistent with that measured by Chornock et
al., GCNC 8994 and Thoene et al., GCNC 9012) through the detection of
Si II (1304.5), C II (1334.5), Si IV (1393.8), Si IV (1402.8), Si II
(1526.7), C IV (1548.2,1550.8), Fe II (1608.5), Fe II (1611.2),
Al III (1854.7), Al III (1862.8), Zn II (2062.6), Fe II (2600.1),
Mg II (2796.3, 2803.5) and Mg I (2853.0). The intervening system
identified by Thoene et al. (GCNC 9012) is resolved into multiple
components through the detection of Fe II, Mg II and Mg I lines with
its main absorption at redshift 1.800. A further system at z = 1.959
shows Fe II, Mg II and Mg I absorption.

The spectra of GRB 090313 will be made public on the ESO web as other
data of scientific relevance obtained during the commissioning of the
instrument.

[GCN OPS NOTE923mar09): Per author's request, the Groot-author's
affiliation was changed.]",3.3721  0.0004,GRB 090313,ESO Melipal telescope of the Paranal Observatory,Spectroscopic,3.3721
8892,2009-02-06 16:23:14.000,"GRB 090205: VLT refined redshiftD. Fugazza, C. C. Thoene (INAF-OAB), V. D'Elia (INAF-OAR), P. D'Avanzo 
(INAF-OAB), S. Piranomonte (INAF-OAR), R. Salvaterra, S. Covino, S. 
Campana (INAF-OAB), G. Chincarini (Univ. Bicocca) report, on behalf of 
the MISTICI collaboration:

We performed further analysis of our VLT spectrum of the optical 
afterglow of GRB 090205 (D'Avanzo et al. GCN 8887; Kruehler & Greiner, 
GCN 8888; Thoene et al., GCN 8889).

We clearly detect the following absorption features: Ly_alpha (1215.67), 
SiII (1260.66), SiII (1303.27), CII (1334.53), SiIV (1393.76, 1402.77) 
doublet, SiII (1526.71) and CIV (1548.20,1550.77) doublet at a redshift 
of z = 4.6497  0.0025 consistent with previous claims (Kruehler & 
Greiner, GCN 8888; Thoene et al., GCN 8889).",4.6497  0.0025,GRB 090205,VLT,Spectroscopic,4.6497
8766,2009-01-02 09:29:37.000,"GRB 090102: NOT redshiftAntonio de Ugarte Postigo (ESO), Pall Jakobsson (U. Iceland), 
Daniele Malesani, Johan P. U. Fynbo (DARK/NBI), Elaine Simpson 
and Susana Barros (Queen's University Belfast) report:

We observed the field of GRB 090102 (Mangano et al., GCN 8762) 
with the NOT/ALFOSC starting on Jan 2 at 03:33 (38 minutes after 
the burst onset). The optical afterglow detected by Klotz et al.
(GCN 8761) and Mangano et al. is detected with R ~ 19.6 (based on 
unfiltered images) at the following coordinates (J2000, 0.5"" error):

RA: 08:32:58.54
Dec.: +33:06:51.1

A 45-min low-resolution spectrum was also obained (2 hours post 
burst). A firm upper limit of z < 2.1 can be placed on the 
redshift of GRB 090102 from the lack of Ly-alpha forest lines in 
the spectrum of the afterglow.

The spectrum also displays several metal lines, including Fe II, 
Mg II, Mg I, Al II, Al III and C IV, at a redshift of z = 1.547.
No other significant lines are visible. We therefore conclude
that z = 1.547 is the redshift of GRB 090102.",z = 1.547,GRB 090102,NOT/ALFOSC,Spectroscopic,1.547
8713,2008-12-23 14:58:35.000,"GRB 081222: Gemini-South absorption redshiftA. Cucchiara, D. B. Fox (Penn State), S. B. Cenko  (Berkeley) and E. Berger
(Harvard) report on behalf of a larger collaboration:

Starting at 01:02 UT on 2008 December 23  we observed the optical
counterpart of GRB 081222 (Grupe et al., GCN 8691, Covino  et al.,
GCN 8692 and Updike et al. 8693) using Gemini-South with the GMOS-South
spectrograph (R~1600).
We acquired 2x900s spectra covering the wavelength range 4000A-8000A.

We detect a damped Lyman-alpha system (DLA) at redshift z=2.77.

We also detect several metal absorption features which we interpret as
SiIV(1393,1402), SiII1526 and 1260, SiII*1264, CII1334, CII*1335,
CIV(1548,1550), FeII1608 and NiII(1454) at the same redshift.

In combination with the strong metal absorption features, the detection of
a DLA at z = 2.77 confirms that this is the redshift of GRB 081222 and its
host galaxy.

We thank the Gemini staff, in particular Henry Lee, for conducting
these observations.",2.77,GRB 081222,Gemini-South,Spectroscopic,2.77
8438,2008-10-29 06:08:18.000,"GRB 081029: UVES/VLT Absorption RedshiftV. D'Elia, (INAF-OAR), S. Covino, P. D'Avanzo (INAF-OAB), report on 
behalf of
the MISTICI collaboration

Following the detection of GRB 081029 (Sakamoto et al. GCN 8435), we 
triggered observations with the UVES camera, mounted at ESO-VLT. The 
observations were performed using both dichroics. We took two  spectra 
starting around Oct 29 at 02:06 UT (about 23 minutes after the burst) 
and covering the range 300-1000 nm.

We detect several absorption features, both ground and fine structure, 
namely, the SiII 1253, SiII 1260, SiII* 1264, OI 1302, SiII 1304, SiII* 
1309, CII 1334 and CII* 1335. These features are interpreted as produced 
by the gas in the GRB host galaxy, at the redshift z=3.8479+/-0.0002

Further analysis is in progress.

We are very grateful for the excellent support of the VLT staff and in 
particular to Antonio De Ugarte Postigo.",3.8479+/-0.0002,GRB 081029,ESO-VLT,Spectroscopic,3.8479
8350,2008-10-09 16:10:20.000,"GRB 081008: VLT redshift confirmationP. D'Avanzo (INAF-OAB), V. D'Elia (INAF-OAR), S. Covino (INAF-OAB) 
report, on behalf of the MISTICI collaboration:

We observed the optical afterglow of GRB 081008 (Rykoff, GCN 8343; 
Racusin et al., GCN 8344), with the ESO VLT on Oct 09 starting about 4.5 
hours after the burst with UVES. In the UVES spectrum  we clearly detect 
the Ly-alpha around lambda 3600 A at a redshift z = 1.96, further 
analysis of this spectrum are ongoing. In light of this, from a refined 
analysis of our VLT/FORS2 spectrum of this GRB (D'Avanzo et al. GCN 
8345), we can identify the metal lines reported by Cucchiara et al. (GCN 
8346) and the absorption lines CrII(2056, 2062,2066) and ZnII(2062) all 
at a redshift z = 1.9685.

Our results are thus in agreement with what reported by Cucchiara et al.",1.9685,GRB 081008,ESO VLT,Spectroscopic,1.9685
8335,2008-10-07 13:46:48.000,"GRB 081007:  Gemini-south redshiftE. Berger (Harvard), D. B. Fox, A. Cucchiara (Penn State), and S. B. Cenko 
(UC Berkeley) report on behalf of a larger collaboration:

""Starting on 2008 October 7.276 UT (73 min after the burst) we observed 
the optical counterpart of GRB 081007 (GCN 8330) using GMOS on the 
Gemini-South 8-m telescope.  Two 900-sec exposures were obtained covering 
a wavlength range of 4600-7400A.  We identify two absorption features at 
6016.7 and 6070.3 A, as well as a weak emission line at 5700.9 A, which 
correspond to the CaII H&K and [OII]3727 lines at a redshift of 
z=0.5295+/-0.0001.""",z=0.5295+/-0.0001,GRB 081007,GMOS on the 8-m Gemini-South telescope,Spectroscopic,0.5295
8300,2008-09-29 15:31:33.000,"GRB080928: Gemini-South Absorption RedshiftA. Cucchiara, D. B. Fox (Penn State), S. B. Cenko  (Berkeley) and E. Berger
(Harvard) report on behalf of a larger collaboration:

Starting at 06:54 UT on 2008 September 29 (T0+16h) we observed the optical
counterpart of GRB 080928 (Sakamoto et al., GCN 8292, Rykoff  et al., 
GCN 8293)
using Gemini-South with the GMOS-South spectrograph (R~1200).
We acquired 2x900s spectra which covered the wavelength range 4000A-8000A.

Our spectrum shows a flux cut-off blueward of 4500A indicating a likely DLA
associated with the GRB host galaxy, consistent with a redshift of z ~ 2.6.

We also identify multiple metal absorption features including FeII(2249),
FeII(2260), SiIV(1393), SiIV(1402), CIV(1548), CIV(1550), NiII(1741) and
NiII(1751) at a common redshift of z = 2.49.

Therefore we conclude that GRB080928 occurred in a possible DLA galaxy
at z = 2.49.

We thank the Gemini staff for conducting these observations.

[GCN OPS NOTE(29sep08): Per author's request, the affiliation for EB
was corrected to Harvard.]",z = 2.49,GRB080928,Gemini-South,Spectroscopic,2.49
8225,2008-09-13 17:28:26.000,"GRB 080913: VLT/FORS spectrumJ.P.U. Fynbo (DARK/NBI), J. Greiner, T. Kruehler (both MPE),
A. Rossi (Tautenburg Obs), P. Vreeswijk, D. Malesani (both DARK/NBI)
report on behalf of a larger collaboration

Based on the rapid determination of an i'-band drop out we triggered 
VLT/ToO observations (program-ID 081.A-0135; PI Greiner) and obtained 
spectroscopy with FORS2+Gris600z of the afterglow of GRB080913
(Schady et al. 2008, GCN #8217; Stamatikos et al. 2008, GCN #8222). 
Observations started at 8:30, about 100 min after the GRB, and continued
until morning twilight. We detect a red continuum that disappears
bluewards of a break around 9400 AA. Interpreting this break
as the onset of the Lyman-alpha forest we infer a redshift
of about z=6.7 consistent with the photometric redshift determined
by GROND  (Greiner et al., GCN #8223).

We are very grateful for the excellent support by the Paranal
observatory staff, in particular Rachel Gilmour and Heidi Korhonen.

[GCN OPS NOTE(06nov08): Per author's request, ""Heidi Schmidt"" was
changed to ""Hiedi Korhonen"".]",z=6.7,GRB080913,VLT (Very Large Telescope),Spectroscopic,6.7
